"date","city","region","country","max_temp_c","min_temp_c","avg_temp_c","uv","sunrise","sunset","total_precip_mm","avg_vis_km","avg_humidity","max_wind_kph","daily_will_it_rain","daily_chance_of_rain","condition_text","condition_icon","condition_code"
2023-09-04,Trondheim,Sor-Trondelag,Norway,15.3,10.2,12.3,4.0,"06:10 AM","08:22 PM",17.6,8.1,93,17.6,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-09-05,Trondheim,Sor-Trondelag,Norway,11.1,9.9,10.5,3.0,"06:13 AM","08:19 PM",22.1,8.8,89,22.7,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-09-06,Trondheim,Sor-Trondelag,Norway,17.4,7.2,11.6,4.0,"06:16 AM","08:15 PM",0.0,10.0,75,9.4,0,0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009"
2023-09-07,Trondheim,Sor-Trondelag,Norway,20.6,9.2,14.0,5.0,"06:19 AM","08:12 PM",0.0,10.0,73,5.4,0,0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009"
2023-09-08,Trondheim,Sor-Trondelag,Norway,18.0,11.0,13.8,4.0,"06:21 AM","08:09 PM",0.0,10.0,76,6.1,0,0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009"
2023-09-09,Trondheim,Sor-Trondelag,Norway,21.4,11.5,15.8,6.0,"06:24 AM","08:05 PM",0.5,9.6,80,5.0,1,100,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-09-10,Trondheim,Sor-Trondelag,Norway,13.7,11.2,12.5,3.0,"06:27 AM","08:02 PM",4.0,8.8,93,5.4,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-09-11,Trondheim,Sor-Trondelag,Norway,21.8,10.2,14.5,5.0,"06:30 AM","07:58 PM",8.9,9.9,84,32.4,1,100,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,"1240"
2023-09-12,Trondheim,Sor-Trondelag,Norway,13.3,8.9,10.8,4.0,"06:33 AM","07:55 PM",3.6,9.9,84,10.8,1,100,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-09-13,Trondheim,Sor-Trondelag,Norway,10.2,5.2,8.3,3.0,"06:35 AM","07:52 PM",0.0,10.0,82,16.6,0,0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009"
2023-09-14,Trondheim,Sor-Trondelag,Norway,12.3,3.5,7.3,3.0,"06:38 AM","07:48 PM",0.0,10.0,73,9.4,0,0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009"
2023-09-15,Trondheim,Sor-Trondelag,Norway,14.7,3.8,9.2,4.0,"06:41 AM","07:45 PM",0.0,10.0,71,7.2,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
